Name,Win rate,Pick rate,Ban rate,Role
vel'koz,52.63%,0.1%,1.4%,top
vel'koz,43.21%,< 0.1%,1.4%,jungle
vel'koz,52.94%,3.0%,1.4%,middle
vel'koz,52.98%,0.1%,1.4%,adc
vel'koz,51.08%,3.0%,1.4%,support
vi,45.63%,0.1%,2.6%,top
vi,53.16%,7.6%,2.6%,jungle
vi,46.29%,< 0.1%,2.6%,middle
vi,31.25%,< 0.1%,2.6%,adc
vi,41.34%,< 0.1%,2.6%,support
viktor,48.07%,0.3%,0.2%,top
viktor,33.8%,< 0.1%,0.2%,jungle
viktor,49.85%,1.5%,0.2%,middle
viktor,47.01%,< 0.1%,0.2%,adc
viktor,42.42%,< 0.1%,0.2%,support
vladimir,47.71%,3.5%,10.2%,top
vladimir,25.78%,< 0.1%,10.2%,jungle
vladimir,49.95%,4.8%,10.2%,middle
vladimir,46.7%,0.1%,10.2%,adc
vladimir,36.22%,< 0.1%,10.2%,support
volibear,52.67%,1.9%,1.1%,top
volibear,54.2%,3.0%,1.1%,jungle
volibear,51.81%,< 0.1%,1.1%,middle
volibear,47.65%,< 0.1%,1.1%,adc
volibear,49.66%,0.3%,1.1%,support
warwick,47.11%,0.2%,1.8%,top
warwick,51.15%,6.1%,1.8%,jungle
warwick,38.17%,< 0.1%,1.8%,middle
warwick,30.3%,< 0.1%,1.8%,adc
warwick,38.5%,< 0.1%,1.8%,support
wukong,51.06%,1.0%,0.4%,top
wukong,49.46%,1.5%,0.4%,jungle
wukong,54.91%,0.5%,0.4%,middle
wukong,47.84%,< 0.1%,0.4%,adc
wukong,45.37%,< 0.1%,0.4%,support
xayah,46.02%,< 0.1%,1.3%,top
xayah,35.68%,< 0.1%,1.3%,jungle
xayah,45.75%,< 0.1%,1.3%,middle
xayah,50.65%,7.3%,1.3%,adc
xayah,36.78%,< 0.1%,1.3%,support
xerath,48.92%,< 0.1%,1.4%,top
xerath,30.91%,< 0.1%,1.4%,jungle
xerath,51.19%,3.7%,1.4%,middle
xerath,47.85%,0.1%,1.4%,adc
xerath,51.06%,1.8%,1.4%,support
xin zhao,42.17%,0.2%,1.9%,top
xin zhao,49.99%,6.0%,1.9%,jungle
xin zhao,44.66%,0.2%,1.9%,middle
xin zhao,43.1%,< 0.1%,1.9%,adc
xin zhao,36.06%,< 0.1%,1.9%,support
yasuo,48.59%,5.1%,47.4%,top
yasuo,40.22%,0.2%,47.4%,jungle
yasuo,49.34%,16.5%,47.4%,middle
yasuo,50.88%,1.2%,47.4%,adc
yasuo,40.39%,0.1%,47.4%,support
yorick,53.53%,2.9%,2.0%,top
yorick,40.45%,< 0.1%,2.0%,jungle
yorick,51.17%,< 0.1%,2.0%,middle
yorick,46.77%,< 0.1%,2.0%,adc
yorick,42.25%,< 0.1%,2.0%,support
yuumi,26.27%,< 0.1%,27.9%,top
yuumi,20.19%,< 0.1%,27.9%,jungle
yuumi,29.5%,< 0.1%,27.9%,middle
yuumi,40.42%,< 0.1%,27.9%,adc
yuumi,47.68%,10.9%,27.9%,support
zac,48.59%,0.1%,0.6%,top
zac,51.27%,2.7%,0.6%,jungle
zac,47.96%,< 0.1%,0.6%,middle
zac,40%,< 0.1%,0.6%,adc
zac,48.67%,0.1%,0.6%,support
zed,49.85%,0.5%,49.8%,top
zed,38.47%,< 0.1%,49.8%,jungle
zed,50.56%,13.9%,49.8%,middle
zed,45.4%,< 0.1%,49.8%,adc
zed,39.91%,0.1%,49.8%,support
ziggs,47.06%,0.1%,0.2%,top
ziggs,30.52%,< 0.1%,0.2%,jungle
ziggs,50.92%,1.9%,0.2%,middle
ziggs,51.67%,0.1%,0.2%,adc
ziggs,48.41%,0.2%,0.2%,support
zilean,53.6%,0.1%,1.1%,top
zilean,39.11%,< 0.1%,1.1%,jungle
zilean,54.03%,0.7%,1.1%,middle
zilean,49.06%,< 0.1%,1.1%,adc
zilean,51.74%,2.8%,1.1%,support
zoe,49.03%,< 0.1%,2.7%,top
zoe,30.14%,< 0.1%,2.7%,jungle
zoe,48.13%,3.1%,2.7%,middle
zoe,46.17%,< 0.1%,2.7%,adc
zoe,43.45%,0.2%,2.7%,support
zyra,50.37%,< 0.1%,3.1%,top
zyra,47.65%,< 0.1%,3.1%,jungle
zyra,51.4%,0.3%,3.1%,middle
zyra,48.74%,< 0.1%,3.1%,adc
zyra,52.27%,4.4%,3.1%,support
